State,High Point,Date
Alaska,Denali,12/17/2022
California,Mount Whitney,
Colorado,Mount Elbert,
Washington,Mount Rainier,
Wyoming,Gannett Peak,
Hawaii,Mauna Kea,
Utah,Kings Peak,
New Mexico,Wheeler Peak,
Nevada,Boundary Peak,
Montana,Granite Peak,
Idaho,Borah Peak,
Arizona,Humphreys Peak,8/19/2022
Oregon,Mount Hood,
Texas,Guadalupe Peak,
South Dakota,Black Elk Peak,
North Carolina,Mount Mitchell,
Tennessee,Clingmans Dome,
New Hampshire,Mount Washington,
Virginia,Mount Rogers,
Nebraska,Panorama Point,
New York,Mount Marcy,
Maine,Katahdin,
Oklahoma,Black Mesa,3/14/2009
West Virginia,Spruce Knob,
Georgia,Brasstown Bald,
Vermont,Mount Mansfield,
Kentucky,Black Mountain,
Kansas,Mount Sunflower,
South Carolina,Sassafras Mountain,3/7/2019
North Dakota,White Butte,
Massachusetts,Mount Greylock,
Maryland,Backbone Mountain,
Pennsylvania,Mount Davis,
Arkansas,Magazine Mountain,
Alabama,Cheaha Mountain,
Connecticut,Mount Frissell,
Minnesota,Eagle Mountain,
Michigan,Mount Arvon,
Wisconsin,Timms Hill,6/21/2001
New Jersey,High Point,6/22/2001
Missouri,Taum Sauk Mountain,6/23/2001
Iowa,Hawkeye Point,6/24/2001
Ohio,Campbell Hill,6/25/2001
Indiana,Hoosier Hill,6/26/2001
Illinois,Charles Mound,6/27/2001
Rhode Island,Jerimoth Hill,6/28/2001
Mississippi,Woodall Mountain,6/29/2001
Louisiana,Driskill Mountain,6/30/2001
Delaware,Ebright Azimuth,7/1/2001
Florida,Britton Hill,7/2/2001
